persona,threshold,gallagher_index,mttf
Centrist,0.0,0.0014233118198764842,4.8091655259802915
Centrist,0.05,0.0663042449280745,4.863312599106087
Polarized,0.0,0.0013971272746432417,1.2979613489555637
Polarized,0.05,0.016004837636852728,1.3133644158580424
Fragmented,0.0,0.001651561091158772,4.010467408761565
Fragmented,0.05,0.04092151339110364,4.054160116842718
