dimensions,n_parties,threshold,avg_mttf,avg_gallagher,std_mttf,std_gallagher
2,3,0.0,4.469261018538094,6.827852062798185E-4,0.7025590709323456,2.647722834539594E-4
2,3,0.03,4.403792599513258,0.0011663379976404966,0.7970907344135436,0.003464398313597895
2,3,0.05,4.475014858345439,0.001864397116248616,0.7409354984675712,0.006527673658580357
2,3,0.1,4.689800004088376,0.012055000716186084,0.5486485858806727,0.023888182386543198
2,5,0.0,4.064105097019045,8.871073630786396E-4,0.7056399873172456,2.3138825893217286E-4
2,5,0.03,4.043932572700115,0.002997840618853334,0.6131246659849444,0.006087844579484028
2,5,0.05,4.082580873960055,0.006385451643468145,0.7701413046199461,0.011733422659604911
2,5,0.1,4.123524968094621,0.040136135383041754,0.6117922633812614,0.033121947957723503
2,8,0.0,4.069338958794356,0.001141351860718898,0.38314133815169804,2.2274633562307494E-4
2,8,0.03,4.07937082502074,0.004910972492298331,0.376103727737967,0.0076333183596578175
2,8,0.05,4.185528290456999,0.022207481678722666,0.42775496751710074,0.016101334028247382
2,8,0.1,4.0061474998678435,0.10815898632203824,0.5032021105187252,0.03537293425472564
2,12,0.0,4.136477558527335,0.0013804744643749188,0.23257490793828042,1.9413977750265548E-4
2,12,0.03,4.140952154699729,0.015003309074400707,0.25330874274891446,0.010838556952750001
2,12,0.05,4.125602854196309,0.049766501275761564,0.24942033514255763,0.019093840650053186
2,12,0.1,4.157850994551103,0.21582467619060344,0.5296904964305793,0.06068214438548774
2,16,0.0,4.1375699353252795,0.0015159683177346942,0.18985082891010047,2.0697840376387075E-4
2,16,0.03,4.122192230476472,0.02670064798004555,0.21932186391044026,0.010831952614634615
2,16,0.05,4.183722577009443,0.08512932922203913,0.27678582494131343,0.0221820266478443
2,16,0.1,4.718245809836662,0.4129930396422394,0.4734742383050599,0.14837659386528468
2,20,0.0,4.10373559739472,0.0016249656718704988,0.19434363756291406,1.9231891545675432E-4
2,20,0.03,4.076239991551689,0.039939934979451454,0.2029406751154275,0.013071962126520658
2,20,0.05,4.168568345302409,0.12139845292141185,0.2943025713398547,0.021554431755157692
2,20,0.1,4.976415231928965,0.49223651179331784,0.13000913075516507,0.19062449569125897
3,3,0.0,4.074494201490065,6.982011822286831E-4,0.9421756151630388,2.534070029309905E-4
3,3,0.03,3.8415014516347274,6.384072648141065E-4,1.1403194715807305,2.7683237569433867E-4
3,3,0.05,4.225604558609472,0.0011414969973435301,0.9205585842731027,0.003651093617678913
3,3,0.1,4.418841281579622,0.0032350003420804365,0.771408281147063,0.01270483659032022
3,5,0.0,3.6563468318451644,9.732675092816986E-4,0.7701433617016148,2.023619415221069E-4
3,5,0.03,3.4226122212862764,9.515802855345087E-4,0.8270352068219106,1.8733648919007457E-4
3,5,0.05,3.593339531202058,0.0037888108290074444,0.7691856167969947,0.00879973366085565
3,5,0.1,3.7820701703579505,0.039527749706257866,0.7351612418368746,0.03507092960215669
3,8,0.0,3.6743713124852273,0.0010969497779773373,0.44719869890980213,1.9000311733092905E-4
3,8,0.03,3.7223020856523332,0.0024385904183144695,0.5020745837912569,0.005460061975079119
3,8,0.05,3.7415640173083755,0.02438383652111623,0.5383662161070584,0.018871844544492162
3,8,0.1,3.8307703017015298,0.1260730191454341,0.7295310114325059,0.043247081329900273
3,12,0.0,3.8483681019612255,0.0013126252366814388,0.38803962848214824,1.967612462529026E-4
3,12,0.03,3.7601483176188846,0.014268743642511222,0.33420036612401505,0.011854237844091687
3,12,0.05,3.7526165689059834,0.052034965443871845,0.3081911200180718,0.018123348786994717
3,12,0.1,3.9263399692670102,0.23633162188477652,0.6482227773637858,0.06074597515318181
3,16,0.0,3.6804119329534073,0.0014938632941419758,0.2713615772324885,1.461932228774166E-4
3,16,0.03,3.7311858350146236,0.025694018277317085,0.3296999458423324,0.00844363812375302
3,16,0.05,3.7653094066956174,0.08778319035715722,0.3408232314895429,0.022125921240009543
3,16,0.1,4.770076718626298,0.4311261960326383,0.5169813987777714,0.1592677230151391
3,20,0.0,3.7124784137782387,0.0015958608595177093,0.21221904825320187,1.7529437258337324E-4
3,20,0.03,3.769990593233107,0.03890786908384787,0.25223854346909524,0.009379750708529233
3,20,0.05,3.7410998875174837,0.11847139855017076,0.2752183295591332,0.025501167141262406
3,20,0.1,4.870414159012616,0.43181354648304326,0.3752211520744106,0.20100542001084595
4,3,0.0,4.107346707363515,7.229109341956403E-4,1.1474328009903265,2.529817804119361E-4
4,3,0.03,3.9585267033972538,7.288186605360754E-4,1.1064619732188878,2.6461927377724904E-4
4,3,0.05,4.158370773934537,6.384845583289127E-4,1.121179459666974,2.720982704383411E-4
4,3,0.1,3.795029369033186,0.005046251652136667,1.2147764010800377,0.017442922469107863
4,5,0.0,3.3170151631331204,8.698660561714078E-4,0.80529615186343,2.2345703014405512E-4
4,5,0.03,3.315678440450619,0.001565506168608764,0.8317342849872381,0.0033449798857463887
4,5,0.05,3.366347628967012,0.007603502922942502,0.9247905168294194,0.014317794638169833
4,5,0.1,3.150849749668198,0.04710230132972246,1.0565892863141286,0.03259921332553942
4,8,0.0,3.3236405568010468,0.0011129512020111216,0.5362612230274927,1.460808746619409E-4
4,8,0.03,3.351279362380671,0.0025545968941809213,0.5057130130659573,0.004846404307137528
4,8,0.05,3.403915269973264,0.020248992600804813,0.5270537280680315,0.019454973622509798
4,8,0.1,3.313044339890453,0.11235149576444986,0.7056782126811668,0.045287016897680527
4,12,0.0,3.2804162552805485,0.0013341902013800507,0.4060312103937482,1.695184548698458E-4
4,12,0.03,3.3624875543553903,0.013533907589675907,0.4059083009523775,0.009826776956566833
4,12,0.05,3.3906317026259893,0.0423926486678747,0.40899632478813996,0.018893568718538648
4,12,0.1,3.6861679703373174,0.23458510371900615,0.757413343352433,0.0695279815120727
4,16,0.0,3.3671909102569,0.0014760012124477814,0.35133898471214886,1.747009469140835E-4
4,16,0.03,3.336324541501268,0.02437659747476921,0.3227551971295578,0.011205163789658587
4,16,0.05,3.3820918583135864,0.08269964258779938,0.4089647763112394,0.02031122881192161
4,16,0.1,4.443710946675429,0.42051979089443187,0.7584982123689945,0.1484455636457466
4,20,0.0,3.374536166460909,0.0015980217867578577,0.24406708303577854,1.8007323245620597E-4
4,20,0.03,3.4405141074521084,0.037981747553199365,0.36532561014078924,0.009317105387674532
4,20,0.05,3.496645704984143,0.11752616886837015,0.3646103960093238,0.022145232695172542
4,20,0.1,4.963441440511159,0.4247680537129068,0.2559099164218887,0.21724592802846532
5,3,0.0,3.496632528262144,7.720252046252167E-4,1.2194745218860594,2.0609969292403833E-4
5,3,0.03,3.598268442819764,6.399072199789602E-4,1.4443784512543396,2.516321716688775E-4
5,3,0.05,3.7196030987312465,0.0020218394936394953,1.2870326716833214,0.006739863875625351
5,3,0.1,3.3778606570346064,0.0027695667846781703,1.4734044741530015,0.011508436028636007
5,5,0.0,2.836138452454419,9.319090364565542E-4,0.8709867581079046,2.4463349682864866E-4
5,5,0.03,2.9935344376218787,0.001974370266327684,0.9903670385967006,0.004218063779916223
5,5,0.05,2.819335812916596,0.004272975242669308,0.9983423723613992,0.008847806653376599
5,5,0.1,2.8748759115222993,0.041003936173672983,1.002845507114442,0.031274048638853136
5,8,0.0,3.031289637633752,0.0011474521350435714,0.6562302000767389,2.043369711627043E-4
5,8,0.03,3.107677711174639,0.004246494061962403,0.6429225941054655,0.007182651890612412
