threshold,gallagher_index,mttf,fragmentation
-1,0.0759753966755028,5.0,1
0.0,8.510182597651598E-4,0.9688711258507254,2
0.01,8.510182597651598E-4,0.9688711258507254,2
0.03,0.039691350934569554,0.9688711258507254,2
0.05,0.07595016679571026,5.0,1
0.1,0.07595016679571026,5.0,1
