dimensions,n_parties,threshold,patronage,polarization,avg_mttf,avg_gallagher,std_mttf
2,20,0.1,0.3,Uniform,4.153987644384267,0.1770140076492913,0.6057292835642022
2,20,0.1,0.3,Symmetric,3.9925274847624705,0.08819181939772022,0.9732318037395369
2,20,0.1,0.3,Asymmetric,4.975351225660157,0.1265892048375795,0.08591611081701218
2,20,0.1,0.6,Uniform,4.393541448031287,0.07391218311984667,0.6601199874055037
2,20,0.1,0.6,Symmetric,4.215408337072646,0.03450506049168505,0.9887386090636935
2,20,0.1,0.6,Asymmetric,4.943170445970899,0.08114989571875601,0.3060365143626594
2,20,0.1,0.9,Uniform,4.927393597610381,0.010358349732188956,0.3909974429212227
2,20,0.1,0.9,Symmetric,4.8947658288754115,0.012445003885451028,0.441113033730353
2,20,0.1,0.9,Asymmetric,5.0,0.02302254207236475,0.0
3,5,0.0,0.0,Uniform,3.5313829704024555,9.301343936902682E-4,0.9015594763200543
3,5,0.0,0.0,Symmetric,3.305649083464853,8.530944704579913E-4,1.0201996182198272
3,5,0.0,0.0,Asymmetric,4.9332732220686335,0.0010240786079538865,0.22111795095100892
3,5,0.0,0.3,Uniform,4.220198029104877,8.58399193425026E-4,1.07812324756292
3,5,0.0,0.3,Symmetric,3.761613490929768,8.666414357176296E-4,0.9744033987735657
3,5,0.0,0.3,Asymmetric,4.961237939709792,9.530615065274467E-4,0.17772026623473183
3,5,0.0,0.6,Uniform,4.7036586578067405,7.690994748480723E-4,0.6154937189431294
3,5,0.0,0.6,Symmetric,4.475628668441526,4.2337725894437E-4,0.952004917068208
3,5,0.0,0.6,Asymmetric,5.0,6.737426855921428E-4,0.0
3,5,0.0,0.9,Uniform,4.96850371620757,2.005927337957299E-4,0.16961267903451296
3,5,0.0,0.9,Symmetric,5.0,1.6357022603954858E-4,0.0
3,5,0.0,0.9,Asymmetric,5.0,2.1902368927062438E-4,0.0
3,5,0.05,0.0,Uniform,3.515791258510431,0.005128359431827609,0.7931564771689564
3,5,0.05,0.0,Symmetric,4.134285195128956,0.012865983036687968,1.004546345199106
3,5,0.05,0.0,Asymmetric,5.0,0.061899780317120685,0.0
3,5,0.05,0.3,Uniform,3.5622987277335705,0.01123093868028206,1.282571667960525
3,5,0.05,0.3,Symmetric,4.403028711460437,0.01046535220151291,0.8844403154015014
3,5,0.05,0.3,Asymmetric,4.9071983399943555,0.03643918737815422,0.3889153724438519
3,5,0.05,0.6,Uniform,4.6757576685505935,0.009088383623386173,0.865452893828704
3,5,0.05,0.6,Symmetric,4.662397416759803,0.004666507760136018,0.8484955538311599
3,5,0.05,0.6,Asymmetric,5.0,0.01818172817735069,0.0
3,5,0.05,0.9,Uniform,5.0,0.003514369326928815,0.0
3,5,0.05,0.9,Symmetric,5.0,6.013022361170257E-4,0.0
3,5,0.05,0.9,Asymmetric,5.0,0.0019000000000000002,0.0
3,5,0.1,0.0,Uniform,3.7006416133021154,0.041280393626024224,0.863013672835469
3,5,0.1,0.0,Symmetric,4.079105780896881,0.029261438233132465,1.1407417532224458
3,5,0.1,0.0,Asymmetric,4.9467658099599685,0.0997213160306438,0.28667488673988645
3,5,0.1,0.3,Uniform,3.9855316941782366,0.05236972163546526,1.0185792947292953
3,5,0.1,0.3,Symmetric,4.562267279303053,0.0270334322475405,0.6989426188225981
3,5,0.1,0.3,Asymmetric,4.9285654929493194,0.08928938936587576,0.22862811585251014
3,5,0.1,0.6,Uniform,4.883694863137334,0.02661495637754658,0.435013686434768
3,5,0.1,0.6,Symmetric,4.549809522121425,0.009631269479583947,0.818975548372183
3,5,0.1,0.6,Asymmetric,5.0,0.039469817953068774,0.0
3,5,0.1,0.9,Uniform,5.0,0.0048958611017138635,0.0
3,5,0.1,0.9,Symmetric,5.0,5.311185159264448E-4,0.0
3,5,0.1,0.9,Asymmetric,5.0,0.005664217555434591,0.0
3,8,0.0,0.0,Uniform,3.751951509399449,0.0010963305910216177,0.5354816816264028
3,8,0.0,0.0,Symmetric,3.0581962596833208,0.0011453595486810508,0.8375451152073898
3,8,0.0,0.0,Asymmetric,4.889690046607968,0.0012341314930576558,0.583604385190434
3,8,0.0,0.3,Uniform,3.4335648862537833,0.0011732310715223335,0.9614001189691279
3,8,0.0,0.3,Symmetric,3.018721495128271,9.720131876385956E-4,1.1669103187632888
3,8,0.0,0.3,Asymmetric,4.949040909416632,0.0012655297154432785,0.15833722219935817
3,8,0.0,0.6,Uniform,4.719562120330723,7.734669962600071E-4,0.8273895725222032
3,8,0.0,0.6,Symmetric,4.38553959425906,6.645860021709909E-4,0.7901406267646233
3,8,0.0,0.6,Asymmetric,4.924671153569847,7.86302884393278E-4,0.3096003797735784
3,8,0.0,0.9,Uniform,5.0,2.2630819851019677E-4,0.0
3,8,0.0,0.9,Symmetric,4.738147297022314,1.9828427124746268E-4,0.6909986712895563
3,8,0.0,0.9,Asymmetric,5.0,2.1320593886581477E-4,0.0
3,8,0.05,0.0,Uniform,3.6281278907404753,0.021419832050423703,0.42646450522601637
3,8,0.05,0.0,Symmetric,3.831505839320234,0.02674071273614627,1.2813720395185468
3,8,0.05,0.0,Asymmetric,4.979429697657027,0.09914551473094207,0.11077446824949265
3,8,0.05,0.3,Uniform,3.8042519354264788,0.02730498457631945,0.7906927413762822
3,8,0.05,0.3,Symmetric,3.7664428909909318,0.022538557742715883,1.1086631775227291
3,8,0.05,0.3,Asymmetric,5.0,0.0711688073965968,0.0
3,8,0.05,0.6,Uniform,4.288223299187041,0.015263072075028555,0.9040599107517274
3,8,0.05,0.6,Symmetric,4.502120864166323,0.004945684398516593,0.8327444740567929
3,8,0.05,0.6,Asymmetric,5.0,0.01608525217615585,0.0
3,8,0.05,0.9,Uniform,5.0,0.002976335545937606,0.0
3,8,0.05,0.9,Symmetric,4.988516934548417,9.439947732873481E-4,0.06183819994788471
3,8,0.05,0.9,Asymmetric,5.0,0.0038994430970991922,0.0
3,8,0.1,0.0,Uniform,3.6217596207920315,0.12661130877917723,0.5198888464291738
3,8,0.1,0.0,Symmetric,4.170492186025361,0.05975357120278635,1.1980498272783033
3,8,0.1,0.0,Asymmetric,5.0,0.12777991449820517,0.0
3,8,0.1,0.3,Uniform,3.8051476274605798,0.09938949775880612,0.8712337115990227
3,8,0.1,0.3,Symmetric,4.081630764736867,0.03945456009306016,1.090727482225757
3,8,0.1,0.3,Asymmetric,5.0,0.1013592962371665,0.0
3,8,0.1,0.6,Uniform,4.781413761279606,0.04438165794507323,0.6319286913211886
3,8,0.1,0.6,Symmetric,4.779602813205177,0.019900738113156322,0.6820851214582464
3,8,0.1,0.6,Asymmetric,5.0,0.057538624522217724,0.0
3,8,0.1,0.9,Uniform,5.0,0.009890662198483672,0.0
3,8,0.1,0.9,Symmetric,4.969411297267686,0.0020409812947232596,0.1647252054499558
3,8,0.1,0.9,Asymmetric,4.956780625423795,0.014511263462015095,0.23274345495414336
3,12,0.0,0.0,Uniform,3.7520602278586375,0.0013011358491069288,0.3101293623650641
3,12,0.0,0.0,Symmetric,2.4836987067067837,0.0013160037361358787,0.832143743559987
3,12,0.0,0.0,Asymmetric,4.848885564934948,0.0015864870611639154,0.41343318989811495
3,12,0.0,0.3,Uniform,3.749339364319138,0.001358421972196694,0.540107500977299
3,12,0.0,0.3,Symmetric,3.295709523936847,0.001111587725172086,0.7954149957459994
3,12,0.0,0.3,Asymmetric,4.970757768712875,0.0013148550390081636,0.12166815885546794
3,12,0.0,0.6,Uniform,4.123201327020245,9.746065514416292E-4,1.0136633551522372
3,12,0.0,0.6,Symmetric,4.002286247763075,7.783798633696895E-4,0.9841065866321962
3,12,0.0,0.6,Asymmetric,4.968223255546942,9.986861458323342E-4,0.17112300591391738
3,12,0.0,0.9,Uniform,5.0,3.2931082822677235E-4,0.0
3,12,0.0,0.9,Symmetric,4.938778807122902,2.4345590876235777E-4,0.24484072173467783
3,12,0.0,0.9,Asymmetric,5.0,3.0590495439037014E-4,0.0
3,12,0.05,0.0,Uniform,3.665026462453617,0.04461481121938828,0.3524712382347325
3,12,0.05,0.0,Symmetric,2.744371876108076,0.03037510887630527,1.1023500719656663
3,12,0.05,0.0,Asymmetric,4.945469456825657,0.11905293770486734,0.20431024533796144
3,12,0.05,0.3,Uniform,3.4513922364028167,0.04428621851875538,0.7895086677325737
3,12,0.05,0.3,Symmetric,3.4693316956580134,0.0256726237399159,1.1681712585482769
3,12,0.05,0.3,Asymmetric,4.996065110336759,0.08701049865786481,0.021190029334443194
3,12,0.05,0.6,Uniform,4.228473859435945,0.021648948623559795,0.8964292123176604
3,12,0.05,0.6,Symmetric,4.324826012556414,0.012868575658621638,1.0192430117232332
3,12,0.05,0.6,Asymmetric,5.0,0.03425444690049962,0.0
3,12,0.05,0.9,Uniform,4.962579040798361,0.004494817819862224,0.20151803254188147
3,12,0.05,0.9,Symmetric,4.758876062869495,5.676555379776041E-4,0.745449820260908
3,12,0.05,0.9,Asymmetric,4.986458281454628,0.007268961766243796,0.07292438613865618
3,12,0.1,0.0,Uniform,4.172056890771942,0.24901586780194182,0.608187373900024
3,12,0.1,0.0,Symmetric,3.7585005911951828,0.07337628978090402,1.3009943085833209
3,12,0.1,0.0,Asymmetric,4.946941218856647,0.12168123507149765,0.20815126966415787
3,12,0.1,0.3,Uniform,4.126457699137066,0.15147977866162848,0.6544054188682581
3,12,0.1,0.3,Symmetric,4.181924656820271,0.05669481418856302,0.9922867890853048
3,12,0.1,0.3,Asymmetric,4.949888231911422,0.11784335375469794,0.1937097990572264
3,12,0.1,0.6,Uniform,4.293353116396632,0.044163212777955166,0.9662980461360199
3,12,0.1,0.6,Symmetric,4.458083966334006,0.030144728679876453,0.8981528352153112
3,12,0.1,0.6,Asymmetric,5.0,0.07862786436546607,0.0
3,12,0.1,0.9,Uniform,5.0,0.007432078942873928,0.0
3,12,0.1,0.9,Symmetric,4.951211774275389,0.005288542814438221,0.1827347063581472
3,12,0.1,0.9,Asymmetric,5.0,0.020155497494184802,0.0
3,20,0.0,0.0,Uniform,3.692103134569345,0.0015922530070277094,0.20196361809057434
3,20,0.0,0.0,Symmetric,2.49464450812125,0.0015052125371254256,0.8217782268262872
3,20,0.0,0.0,Asymmetric,4.834820711413932,0.0017071981363210832,0.48769682525555297
3,20,0.0,0.3,Uniform,3.5989968916309683,0.001616889033257692,0.4137916059557783
3,20,0.0,0.3,Symmetric,2.6547906366242624,0.001317474243421425,0.709611675069839
3,20,0.0,0.3,Asymmetric,4.9615325365688125,0.0018675145060647693,0.1483549191702986
3,20,0.0,0.6,Uniform,3.7361453179784916,0.0010483647619800153,0.9979107535254114
3,20,0.0,0.6,Symmetric,3.7518308758181345,9.944417986737417E-4,1.0242231950716398
3,20,0.0,0.6,Asymmetric,4.937451798134999,0.0012389017374565888,0.17014917463756243
3,20,0.0,0.9,Uniform,4.798870527789803,5.134832417190373E-4,0.7042986957279582
3,20,0.0,0.9,Symmetric,4.874523393433596,3.6576165698475044E-4,0.41432607003222016
3,20,0.0,0.9,Asymmetric,5.0,4.711887394561378E-4,0.0
3,20,0.05,0.0,Uniform,3.8576280002161307,0.12208948493521787,0.33095880368473046
3,20,0.05,0.0,Symmetric,2.846163597557427,0.03858778053142862,1.0996339147088054
3,20,0.05,0.0,Asymmetric,4.9637113161878155,0.12261264948815445,0.18741229645424126
3,20,0.05,0.3,Uniform,3.670413073710628,0.0741884840097819,0.4497154543983253
3,20,0.05,0.3,Symmetric,3.280218111828266,0.033504231097758574,1.2723464524581434
3,20,0.05,0.3,Asymmetric,4.997028368169305,0.11015158812488571,0.014404028189210317
3,20,0.05,0.6,Uniform,3.9940999775857033,0.026573259347700766,0.8859398365956125
3,20,0.05,0.6,Symmetric,4.011587073724454,0.017435992036308256,1.099514632430447
3,20,0.05,0.6,Asymmetric,4.968564853180835,0.06481160142161739,0.11768284566106349
